GWD,W,Sa,TWL,P,T,Hu,ELE
0.338671589,26.36543486,18.05037087,110.6395838,0,9.1,53,0.494
-0.081672706,28.36847557,19.95515058,88.7507591,0,8.7,90,0.04
-0.932997646,20.66752421,30.6863386,136.1715028,0,27.7,81,0.986
-0.126521706,26.4633495,14.09133989,150.5559355,0,24.1,83,0.342
0.406667462,27.34631222,21.75351398,101.0774675,0,0.6,96,0.494
0.203936084,25.74493655,26.33480176,100.0564449,0,20.1,96,0.559
0.187124933,25.17933735,19.70087925,39.74601387,0,-0.1,87,0.494
-0.132396396,24.41338919,25.77786583,66.37425291,2,7.9,91,0.04
-0.145632171,27.80227971,19.52043191,86.84070138,0,17.6,31,0.04
-0.147934216,22.37105103,24.69832513,143.2111554,0,19.4,84,0.04
-0.469288569,23.1167814,15.8319201,53.73778679,0,17.1,46,0.342
0.264300123,29.02752207,21.55213602,141.9404776,3,22.4,92,0.494
0.349591739,20.26084208,17.39426262,43.87425892,0,5.3,58,0.559
-0.128746376,13.06628623,23.80973323,76.44621514,0,26.7,62,0.494
-0.083531028,26.70482777,22.20474089,101.2458602,0,29.5,50,0.342
-0.128746376,17.49312637,17.18700227,91.78009729,0,0.8,17,0.494
-0.53131546,19.99164503,19.59798409,78.97442993,0,22.6,92,0.135
0.378598132,22.10779403,14.58284948,113.6285704,2,23.2,100,0.559
0.166361293,24.90118751,28.65372072,51.45581135,3,20.4,100,0.494
-0.025703971,26.65000309,26.7214429,147.7139126,2,21.6,98,0.04
-0.111783784,28.27558582,26.29582226,94.17538897,0,26,100,0.04
0.346912441,21.17611701,13.07068781,118.556671,3,22.1,100,0.559
-0.089530686,27.60014697,23.32366116,60.05720383,0,13.4,67,0.04
-0.298962963,28.45936822,32.58442347,49.63061132,0,-7.8,53,0.04
-0.128746376,15.65454119,34.3649618,60.2373935,0,10.1,25,1.279
-0.966361004,16.66855942,26.43350067,150.1472657,0,34.3,65,0.986
-0.158689049,28.84104281,32.28210779,45.56124266,0,14.2,67,0.04
-0.228201439,26.25758005,33.22424799,150.1472657,0,34.3,65,0.342
-0.128746376,17.38477845,41.14680553,123.3247029,0,4.2,96,1.279
-1.091641403,17.54319742,20.81500761,90.19295361,0,31,61,0.986
0.180974299,29.01374714,28.9299159,98.88107018,0,21.3,99,0.559
0.470722773,26.328125,29.00855288,71.92117997,0,24.3,67,0.687
0.214645791,24.40853206,26.22156541,95.41219482,0,0.7,19,0.687
0.106992254,26.41192769,26.21756939,95.0189851,0,8.6,56,0.687
0.189911246,29.10456731,36.77463691,112.2236531,0.1,14.2,100,0.687
-0.550427892,10.89761571,28.50903086,98.82760653,0,2.6,75,0.135
-0.103610108,23.45598729,27.07025563,104.0195318,0,25.8,63,0.04
-0.504262821,15.54998998,23.18031377,85.06102447,0,-4,86,0.135
0.494,21.50019807,24.95701346,105.6701118,0,22.7,15,0.494
-1.076960508,18.51642958,21.32205964,100.484796,0,28,52,0.986
